Iteration,Heuristic Value,Time
1,1,0.0000
2,1,0.0000
3,1,0.0000
4,1,0.0000
5,1,0.0000
6,1,0.0000
7,1,0.0000
8,1,0.0000
9,1,0.0000
10,1,0.0000
11,1,0.0000
12,1,4.0000
13,1,4.0000
14,1,4.0000
15,1,5.0000
16,1,5.0000
17,1,5.0000
18,1,5.0000
19,1,5.0000
20,1,5.0000
21,1,5.0000
22,1,5.0000
23,1,5.0000
24,1,5.0000
25,1,5.0000
26,1,5.0000
27,1,5.0000
28,1,5.0000
29,1,5.0000
30,1,5.0000
31,1,5.0000
32,1,5.0000
33,1,5.0000
34,1,5.0000
35,1,5.0000
36,1,5.0000
37,1,5.0000
38,1,5.0000
39,1,5.0000
40,1,5.0000
41,1,5.0000
42,1,5.0000
43,1,5.0000
44,1,5.0000
45,1,5.0000
46,1,5.0000
47,1,5.0000
48,1,5.0000
49,1,5.0000
50,1,5.0000
51,1,5.0000
52,1,5.0000
53,1,5.0000
54,2,5.0000
55,2,5.0000
56,2,5.0000
57,2,5.0000
58,2,8.0000
59,2,8.0000
60,2,8.0000
61,2,8.0000
62,2,8.0000
63,2,8.0000
64,2,8.0000
65,2,8.0000
66,2,8.0000
67,2,8.0000
68,2,8.0000
69,2,8.0000
70,2,8.0000
71,2,8.0000
72,2,8.0000
73,2,8.0000
74,2,8.0000
75,3,8.0000
76,3,8.0000
77,3,8.0000
78,3,9.0000
79,3,9.0000
80,3,9.0000
81,3,9.0000
82,3,9.0000
83,3,9.0000
84,3,9.0000
85,3,9.0000
86,3,9.0000
87,3,9.0000
88,3,9.0000
89,3,9.0000
90,4,9.0000
91,4,9.0000
92,4,10.0000
93,4,10.0000
94,4,10.0000
95,4,10.0000
96,4,10.0000
97,4,10.0000
98,4,10.0000
99,4,10.0000
100,4,10.0000
101,4,10.0000
102,4,10.0000
103,4,11.0000
104,4,12.0000
105,4,12.0000
106,4,12.0000
107,4,12.0000
108,4,12.0000
109,4,12.0000
110,4,12.0000
111,4,12.0000
112,4,12.0000
113,4,12.0000
114,4,12.0000
115,4,12.0000
116,4,13.0000
117,4,13.0000
118,4,13.0000
119,4,13.0000
120,5,13.0000
121,5,13.0000
122,5,13.0000
123,5,13.0000
124,5,13.0000
125,5,13.0000
126,6,13.0000
127,6,13.0000
128,6,13.0000
129,6,13.0000
130,6,13.0000
131,6,13.0000
132,6,13.0000
133,6,13.0000
134,6,13.0000
135,6,13.0000
136,6,13.0000
137,6,13.0000
138,6,13.0000
139,6,13.0000
140,6,13.0000
141,6,13.0000
142,6,13.0000
143,6,13.0000
144,6,15.0000
145,6,15.0000
146,6,15.0000
147,6,15.0000
148,6,15.0000
149,6,15.0000
150,6,15.0000
151,6,15.0000
152,6,15.0000
153,6,15.0000
154,6,15.0000
155,6,15.0000
156,6,15.0000
157,6,15.0000
158,6,15.0000
159,6,15.0000
160,6,15.0000
161,6,15.0000
162,6,15.0000
163,6,15.0000
164,6,15.0000
165,6,15.0000
166,6,16.0000
167,6,16.0000
168,6,16.0000
169,6,16.0000
170,6,16.0000
171,6,16.0000
172,6,16.0000
173,6,16.0000
174,6,16.0000
175,6,16.0000
176,6,17.0000
177,6,17.0000
178,6,17.0000
179,6,17.0000
180,6,17.0000
181,6,17.0000
182,6,17.0000
183,6,18.0000
184,6,18.0000
185,6,18.0000
186,6,18.0000
187,6,18.0000
188,6,18.0000
189,6,18.0000
190,6,18.0000
191,6,18.0000
192,6,18.0000
193,6,18.0000
194,6,18.0000
195,6,18.0000
196,6,18.0000
197,6,18.0000
198,6,18.0000
199,6,18.0000
200,6,18.0000
201,6,18.0000
202,6,18.0000
203,6,18.0000
204,6,19.0000
205,6,19.0000
206,6,19.0000
207,6,19.0000
208,6,19.0000
209,6,19.0000
210,6,19.0000
211,6,19.0000
212,6,19.0000
213,6,19.0000
214,6,19.0000
215,6,19.0000
216,6,19.0000
217,6,20.0000
218,6,20.0000
219,7,20.0000
220,8,20.0000
221,8,20.0000
222,8,20.0000
223,8,20.0000
224,8,20.0000
225,8,20.0000
226,8,20.0000
227,8,20.0000
228,8,20.0000
229,8,20.0000
230,8,20.0000
231,8,21.0000
232,8,21.0000
233,8,21.0000
234,9,21.0000
235,9,21.0000
236,9,21.0000
237,9,21.0000
238,9,21.0000
239,9,21.0000
240,9,21.0000
241,9,21.0000
242,9,21.0000
243,9,21.0000
244,9,21.0000
245,9,22.0000
246,9,22.0000
247,9,22.0000
248,9,22.0000
249,9,22.0000
250,9,22.0000
251,9,22.0000
252,9,22.0000
253,9,22.0000
254,9,23.0000
255,9,23.0000
256,9,23.0000
257,9,23.0000
258,9,23.0000
259,9,23.0000
260,9,23.0000
261,9,23.0000
262,9,23.0000
263,9,23.0000
264,9,23.0000
265,9,23.0000
266,9,23.0000
267,9,23.0000
268,9,23.0000
269,10,23.0000
270,10,23.0000
271,10,23.0000
272,10,23.0000
273,10,23.0000
274,10,23.0000
275,10,23.0000
276,10,23.0000
277,10,23.0000
278,10,23.0000
279,10,23.0000
280,10,23.0000
281,10,23.0000
282,10,23.0000
283,10,23.0000
284,10,23.0000
285,10,23.0000
286,10,23.0000
287,10,23.0000
288,10,23.0000
289,10,23.0000
290,10,23.0000
291,10,23.0000
292,10,23.0000
293,10,23.0000
294,10,23.0000
295,10,23.0000
296,10,23.0000
297,10,23.0000
298,10,23.0000
299,10,23.0000
300,10,23.0000
301,10,23.0000
302,10,23.0000
303,10,23.0000
304,10,23.0000
305,10,23.0000
306,10,23.0000
307,10,23.0000
308,10,23.0000
309,10,23.0000
310,10,23.0000
311,10,23.0000
312,10,23.0000
313,10,23.0000
314,10,23.0000
315,10,28.0000
316,10,28.0000
317,10,28.0000
318,10,28.0000
319,11,28.0000
320,11,28.0000
321,11,28.0000
322,11,28.0000
323,11,28.0000
324,11,28.0000
325,11,28.0000
326,11,28.0000
327,11,28.0000
328,11,28.0000
329,11,28.0000
330,11,28.0000
331,11,28.0000
332,11,28.0000
333,11,28.0000
334,11,28.0000
335,11,30.0000
336,11,30.0000
337,11,30.0000
338,11,30.0000
339,11,30.0000
340,11,30.0000
341,11,30.0000
342,11,30.0000
343,11,30.0000
344,11,30.0000
345,11,30.0000
346,11,30.0000
347,11,30.0000
348,12,31.0000
349,12,31.0000
350,12,31.0000
351,12,31.0000
352,12,31.0000
353,12,31.0000
354,12,31.0000
355,12,31.0000
356,12,31.0000
357,12,31.0000
358,13,31.0000
359,13,31.0000
360,13,31.0000
361,13,32.0000
362,13,32.0000
363,13,32.0000
364,13,32.0000
365,13,32.0000
366,13,32.0000
367,13,32.0000
368,13,32.0000
369,13,32.0000
370,13,32.0000
371,13,32.0000
372,13,32.0000
373,13,32.0000
374,13,32.0000
375,13,33.0000
376,13,33.0000
377,13,33.0000
378,13,33.0000
379,13,33.0000
380,13,33.0000
381,13,33.0000
382,13,33.0000
383,13,33.0000
384,13,33.0000
385,13,33.0000
386,13,33.0000
387,13,33.0000
388,13,33.0000
389,13,33.0000
390,13,33.0000
391,13,33.0000
392,13,33.0000
393,13,34.0000
394,13,34.0000
395,13,34.0000
396,13,34.0000
397,13,34.0000
398,13,34.0000
399,13,34.0000
400,13,34.0000
401,13,34.0000
402,13,34.0000
403,13,34.0000
404,13,34.0000
405,13,34.0000
406,13,35.0000
407,13,35.0000
408,13,35.0000
409,13,35.0000
410,13,36.0000
411,13,36.0000
412,13,36.0000
413,13,36.0000
414,13,36.0000
415,14,36.0000
416,14,36.0000
417,14,36.0000
418,14,36.0000
419,14,36.0000
420,14,36.0000
421,14,36.0000
422,14,37.0000
423,14,37.0000
424,14,37.0000
425,14,37.0000
426,14,37.0000
427,14,37.0000
428,14,37.0000
429,14,37.0000
430,14,37.0000
431,14,37.0000
432,14,37.0000
433,14,37.0000
434,14,37.0000
435,14,37.0000
436,14,38.0000
437,14,38.0000
438,14,38.0000
439,14,38.0000
440,14,38.0000
441,14,38.0000
442,14,38.0000
443,14,38.0000
444,14,38.0000
445,14,38.0000
446,14,38.0000
447,14,38.0000
448,14,38.0000
449,14,38.0000
450,14,38.0000
451,14,38.0000
452,14,38.0000
453,14,38.0000
454,14,38.0000
455,14,39.0000
456,14,39.0000
457,14,39.0000
458,14,39.0000
459,14,39.0000
460,14,39.0000
461,14,39.0000
462,14,39.0000
463,14,39.0000
464,14,39.0000
465,14,39.0000
466,14,39.0000
467,14,39.0000
468,14,39.0000
469,14,39.0000
470,14,39.0000
471,14,39.0000
472,14,39.0000
473,14,39.0000
474,14,39.0000
475,14,39.0000
476,14,41.0000
477,14,41.0000
478,14,41.0000
479,14,41.0000
480,14,41.0000
481,14,41.0000
482,14,41.0000
483,14,41.0000
484,14,41.0000
485,14,41.0000
486,14,41.0000
487,14,41.0000
488,14,41.0000
489,14,41.0000
490,14,41.0000
491,14,41.0000
492,14,41.0000
493,14,41.0000
494,14,41.0000
495,14,41.0000
496,14,41.0000
497,14,41.0000
498,14,41.0000
499,14,41.0000
500,14,41.0000
501,14,41.0000
502,14,43.0000
503,14,43.0000
504,14,43.0000
505,14,43.0000
506,14,43.0000
507,14,43.0000
508,14,43.0000
509,14,43.0000
510,14,43.0000
511,14,43.0000
512,14,43.0000
513,14,43.0000
514,14,43.0000
515,14,43.0000
516,14,44.0000
517,14,44.0000
518,14,44.0000
519,14,44.0000
520,14,44.0000
521,14,44.0000
522,14,44.0000
523,14,44.0000
524,14,44.0000
525,14,44.0000
526,14,44.0000
527,14,44.0000
528,14,44.0000
529,14,44.0000
530,14,45.0000
531,14,45.0000
532,15,45.0000
533,15,45.0000
534,15,45.0000
535,15,45.0000
536,15,45.0000
537,15,45.0000
538,15,45.0000
539,16,45.0000
540,16,45.0000
541,16,45.0000
542,16,45.0000
543,16,45.0000
544,16,46.0000
545,16,46.0000
546,16,46.0000
547,16,46.0000
548,16,46.0000
549,17,46.0000
550,17,46.0000
551,17,46.0000
552,17,46.0000
553,17,46.0000
554,17,46.0000
555,17,46.0000
556,17,46.0000
557,17,47.0000
558,17,47.0000
559,17,47.0000
560,17,47.0000
561,17,47.0000
562,17,47.0000
563,17,47.0000
564,17,47.0000
565,17,47.0000
566,17,47.0000
567,17,48.0000
568,17,48.0000
569,17,48.0000
570,17,48.0000
571,17,48.0000
572,17,48.0000
573,17,48.0000
574,17,48.0000
575,17,48.0000
576,17,48.0000
577,17,48.0000
578,17,48.0000
579,17,48.0000
580,17,48.0000
581,17,48.0000
582,17,48.0000
583,17,48.0000
584,17,48.0000
585,17,48.0000
586,17,49.0000
587,17,49.0000
588,17,49.0000
589,17,49.0000
590,17,49.0000
591,17,49.0000
592,17,49.0000
593,17,49.0000
594,17,49.0000
595,17,49.0000
596,17,49.0000
597,17,49.0000
598,17,49.0000
599,17,49.0000
600,17,49.0000
601,17,49.0000
602,17,49.0000
603,17,49.0000
604,17,49.0000
605,17,49.0000
606,17,49.0000
607,17,49.0000
608,17,49.0000
609,17,49.0000
610,17,49.0000
611,17,49.0000
612,17,49.0000
613,17,49.0000
614,17,49.0000
615,17,49.0000
616,17,49.0000
617,17,49.0000
618,17,49.0000
619,17,49.0000
620,17,49.0000
621,17,49.0000
622,17,49.0000
623,17,49.0000
624,17,49.0000
625,17,49.0000
626,17,49.0000
627,17,49.0000
628,17,49.0000
629,17,49.0000
630,17,49.0000
631,17,49.0000
632,17,49.0000
633,17,49.0000
634,17,49.0000
635,17,53.0000
636,17,53.0000
637,17,53.0000
638,17,53.0000
639,17,53.0000
640,17,53.0000
641,17,53.0000
642,17,53.0000
643,17,53.0000
644,17,54.0000
645,17,54.0000
646,17,54.0000
647,17,54.0000
648,17,54.0000
649,17,54.0000
650,17,54.0000
651,17,54.0000
652,17,54.0000
653,17,54.0000
654,17,54.0000
655,17,54.0000
656,17,54.0000
657,17,54.0000
658,17,54.0000
659,17,54.0000
660,17,54.0000
661,17,55.0000
662,17,55.0000
663,17,55.0000
664,17,55.0000
665,17,55.0000
666,17,55.0000
667,17,55.0000
668,17,55.0000
669,17,55.0000
670,17,55.0000
671,17,55.0000
672,17,55.0000
673,17,55.0000
674,17,56.0000
675,17,56.0000
676,17,56.0000
677,17,56.0000
678,17,56.0000
679,17,56.0000
680,17,56.0000
681,17,56.0000
682,17,56.0000
683,17,56.0000
684,17,56.0000
685,17,56.0000
686,17,56.0000
687,17,56.0000
688,17,57.0000
689,17,57.0000
690,17,57.0000
691,17,57.0000
692,17,57.0000
693,17,57.0000
694,17,57.0000
695,17,57.0000
696,17,57.0000
697,17,57.0000
698,17,57.0000
699,17,58.0000
700,17,58.0000
701,17,58.0000
702,17,58.0000
703,18,58.0000
704,18,58.0000
705,18,58.0000
706,18,58.0000
707,18,58.0000
708,18,58.0000
709,18,58.0000
710,18,58.0000
711,18,58.0000
712,18,58.0000
713,18,58.0000
714,18,59.0000
715,18,59.0000
716,18,59.0000
717,18,59.0000
718,18,59.0000
719,18,59.0000
720,18,59.0000
721,18,59.0000
722,18,59.0000
723,18,60.0000
724,18,60.0000
725,18,60.0000
726,18,60.0000
727,19,60.0000
728,19,60.0000
729,20,60.0000
730,20,60.0000
731,20,60.0000
732,20,60.0000
733,20,60.0000
734,20,60.0000
735,20,60.0000
736,20,60.0000
737,20,60.0000
738,20,60.0000
739,20,60.0000
740,20,60.0000
741,20,60.0000
742,20,60.0000
743,20,60.0000
744,20,60.0000
745,20,60.0000
746,20,60.0000
747,20,60.0000
748,20,60.0000
749,20,60.0000
750,20,60.0000
751,20,60.0000
752,20,60.0000
753,20,60.0000
754,20,60.0000
755,20,60.0000
756,20,60.0000
757,20,60.0000
758,20,60.0000
759,21,60.0000
760,21,60.0000
761,22,60.0000
762,22,60.0000
763,22,60.0000
764,22,60.0000
765,22,63.0000
766,22,63.0000
767,22,63.0000
768,22,63.0000
769,22,63.0000
770,22,63.0000
771,22,63.0000
772,22,63.0000
773,22,63.0000
774,22,63.0000
775,22,63.0000
776,22,63.0000
777,22,63.0000
778,22,63.0000
779,22,64.0000
780,22,64.0000
781,22,64.0000
782,22,64.0000
783,22,64.0000
784,22,64.0000
785,22,64.0000
786,22,64.0000
787,22,64.0000
788,22,64.0000
789,22,64.0000
790,22,64.0000
791,22,64.0000
792,22,64.0000
793,22,65.0000
794,22,65.0000
795,22,65.0000
796,22,65.0000
797,22,65.0000
798,22,65.0000
799,22,65.0000
800,22,65.0000
801,22,65.0000
802,22,65.0000
803,22,66.0000
804,22,66.0000
805,22,66.0000
806,22,66.0000
807,22,66.0000
808,22,66.0000
809,22,66.0000
810,22,66.0000
811,22,66.0000
812,22,66.0000
813,22,66.0000
814,22,66.0000
815,22,66.0000
816,22,66.0000
817,22,66.0000
818,22,67.0000
819,22,67.0000
820,22,67.0000
821,22,67.0000
822,22,67.0000
823,22,67.0000
824,22,67.0000
825,22,67.0000
826,22,67.0000
827,22,67.0000
828,22,67.0000
829,22,68.0000
830,22,68.0000
831,22,68.0000
832,22,68.0000
833,22,68.0000
834,22,68.0000
835,22,68.0000
836,22,68.0000
837,22,68.0000
838,22,68.0000
839,22,68.0000
840,22,68.0000
841,22,68.0000
842,22,68.0000
843,22,68.0000
844,22,68.0000
845,22,68.0000
846,22,68.0000
847,22,68.0000
848,22,68.0000
849,22,69.0000
850,22,69.0000
851,22,69.0000
852,22,69.0000
853,22,69.0000
854,22,69.0000
855,22,69.0000
856,22,69.0000
857,22,69.0000
858,22,69.0000
859,22,69.0000
860,22,69.0000
861,22,69.0000
862,22,69.0000
863,22,69.0000
864,22,69.0000
865,22,69.0000
866,22,69.0000
867,22,69.0000
868,22,69.0000
869,22,69.0000
870,22,69.0000
871,22,69.0000
