Iteration,Heuristic Value,Restarted,Inner Iteration,Time
210,39,5,34,1274.0000
211,40,5,35,1280.0000
212,40,5,36,1288.0000
213,2,6,1,1293.0000
214,4,6,2,1301.0000
215,5,6,3,1304.0000
216,6,6,4,1313.0000
217,7,6,5,1317.0000
218,9,6,6,1327.0000
219,10,6,7,1333.0000
220,11,6,8,1340.0000
221,12,6,9,1346.0000
222,14,6,10,1353.0000
223,15,6,11,1360.0000
224,17,6,12,1367.0000
225,18,6,13,1374.0000
226,19,6,14,1380.0000
227,20,6,15,1383.0000
228,21,6,16,1391.0000
229,22,6,17,1402.0000
230,23,6,18,1407.0000
231,24,6,19,1414.0000
232,25,6,20,1421.0000
233,26,6,21,1426.0000
234,27,6,22,1432.0000
235,28,6,23,1438.0000
236,29,6,24,1445.0000
237,30,6,25,1450.0000
238,31,6,26,1456.0000
239,32,6,27,1462.0000
240,33,6,28,1468.0000
241,34,6,29,1474.0000
242,35,6,30,1480.0000
243,36,6,31,1486.0000
244,37,6,32,1492.0000
245,38,6,33,1498.0000
246,39,6,34,1507.0000
247,40,6,35,1513.0000
248,40,6,36,1520.0000
249,3,7,1,1526.0000
250,5,7,2,1533.0000
251,7,7,3,1538.0000
252,8,7,4,1546.0000
253,10,7,5,1553.0000
254,12,7,6,1559.0000
255,13,7,7,1566.0000
256,14,7,8,1571.0000
257,15,7,9,1579.0000
258,16,7,10,1585.0000
259,18,7,11,1592.0000
260,19,7,12,1598.0000
261,20,7,13,1604.0000
262,21,7,14,1611.0000
263,22,7,15,1617.0000
264,23,7,16,1623.0000
265,24,7,17,1629.0000
266,25,7,18,1635.0000
267,26,7,19,1642.0000
268,27,7,20,1648.0000
269,28,7,21,1653.0000
270,29,7,22,1659.0000
271,30,7,23,1663.0000
272,31,7,24,1668.0000
273,32,7,25,1674.0000
274,33,7,26,1683.0000
275,34,7,27,1686.0000
276,35,7,28,1698.0000
277,36,7,29,1705.0000
278,37,7,30,1716.0000
279,38,7,31,1723.0000
280,39,7,32,1735.0000
281,40,7,33,1741.0000
282,41,7,34,1747.0000
283,41,7,35,1755.0000
284,41,7,36,1763.0000
285,41,7,37,1766.0000
286,41,7,38,1773.0000
287,41,7,39,1782.0000
288,2,8,1,1783.0000
289,4,8,2,1796.0000
290,6,8,3,1803.0000
291,8,8,4,1809.0000
292,9,8,5,1816.0000
293,11,8,6,1820.0000
294,13,8,7,1829.0000
295,14,8,8,1834.0000
296,15,8,9,1835.0000
297,16,8,10,1844.0000
298,17,8,11,1848.0000
299,18,8,12,1856.0000
300,19,8,13,1856.0000
